city,severity,isolated_users,received_service,received_service_half,avg_distance,isolated_systems,active_base_stations,avg_snr,connected_UE_BS,active_channels
Middelburg,0,0.0,0.9607034795875796,0.9557522123893806,498.06678357443934,2,54,21150811.77116735,6.277777777777778,162
Middelburg,0,0.0,0.9554040115191004,0.9557522123893806,498.0488742933421,2,54,23983201.405348193,6.277777777777778,162
Middelburg,0,0.0,0.9604573964136038,0.9587020648967551,498.78308703902616,2,54,22182978.961839773,6.277777777777778,162
Middelburg,0,0.0,0.960870417879745,0.9587020648967551,498.8517094844797,2,54,22260304.313900482,6.277777777777778,162
Middelburg,0,0.0,0.987688408894793,0.9941002949852508,484.63859510617107,2,54,33984458.14413857,6.277777777777778,162
Middelburg,0,0.0,0.9747931288999927,0.9705014749262537,482.31589832372396,2,54,32596320.488808196,6.277777777777778,162
Middelburg,0,0.0,0.9885847607935506,0.9941002949852508,482.863701145588,2,54,34685382.480926,6.277777777777778,162
Middelburg,0,0.0,0.9881614536768647,0.9941002949852508,483.35429825824133,2,54,34090851.13610996,6.277777777777778,162
Middelburg,0,0.0,0.9756545190088701,0.9911504424778761,468.421264264978,2,54,32803314.849791687,6.277777777777778,162
Middelburg,0,0.0,0.9768449552595054,0.9911504424778761,469.93220127797184,2,54,35507878.410033666,6.277777777777778,162
Middelburg,0,0.0,0.9757365908852383,0.9911504424778761,468.43780093239167,2,54,32976869.950293295,6.277777777777778,162
Middelburg,0,0.0,0.9754581877461773,0.9911504424778761,468.421264264978,2,54,33877126.994664185,6.277777777777778,162
Middelburg,0,0.0,0.9607034795875796,0.9557522123893806,498.06678357443934,2,54,21150811.77116735,6.277777777777778,162
Middelburg,0,0.0,0.9554040115191004,0.9557522123893806,498.0488742933421,2,54,23983201.405348193,6.277777777777778,162
Middelburg,0,0.0,0.9604573964136038,0.9587020648967551,498.78308703902616,2,54,22182978.961839773,6.277777777777778,162
Middelburg,0,0.0,0.960870417879745,0.9587020648967551,498.8517094844797,2,54,22260304.313900482,6.277777777777778,162
Middelburg,0,0.0,0.9728010683045832,0.9823008849557522,452.5599570295175,2,54,47245267.30775339,6.277777777777778,162
Middelburg,0,0.0,0.9686288728466697,0.9646017699115044,452.5897817274776,2,54,46195659.82448395,6.277777777777778,162
Middelburg,0,0.0,0.9678204864534268,0.967551622418879,452.5623693086459,2,54,46742524.949414,6.277777777777778,162
Middelburg,0,0.0,0.9680799996589993,0.967551622418879,452.5623693086459,2,54,48302334.04214711,6.277777777777778,162
Middelburg,0,0.0,0.9704075816715482,0.9705014749262537,475.49278275885604,2,54,45718471.666959874,6.277777777777778,162
Middelburg,0,0.0,0.9702578739325248,0.9705014749262537,475.49278275885604,2,54,47309399.14487292,6.277777777777778,162
Middelburg,0,0.0,0.9703763767897738,0.9734513274336283,475.5101501045962,2,54,45666521.28504307,6.277777777777778,162
Middelburg,0,0.0,0.9697507918791028,0.9705014749262537,475.50552227966483,2,54,45386730.18374714,6.277777777777778,162
Middelburg,0,0.0,0.9607034795875796,0.9557522123893806,498.06678357443934,2,54,21150811.77116735,6.277777777777778,162
Middelburg,0,0.0,0.9554040115191004,0.9557522123893806,498.0488742933421,2,54,23983201.405348193,6.277777777777778,162
Middelburg,0,0.0,0.9604573964136038,0.9587020648967551,498.78308703902616,2,54,22182978.961839773,6.277777777777778,162
Middelburg,0,0.0,0.960870417879745,0.9587020648967551,498.8517094844797,2,54,22260304.313900482,6.277777777777778,162
Middelburg,0,0.0,0.9724149316585081,0.9852507374631269,484.2811849690578,2,54,39514579.804058306,6.277777777777778,162
Middelburg,0,0.0,0.9722924401883474,0.9852507374631269,484.2485411875342,2,54,40769817.852969006,6.277777777777778,162
Middelburg,0,0.0,0.9726498153742652,0.9852507374631269,486.6278867561239,2,54,40483168.01079066,6.277777777777778,162
Middelburg,0,0.0,0.9710529933217531,0.9823008849557522,484.2649690797835,2,54,41668424.703530334,6.277777777777778,162
Middelburg,0,0.0,0.9869684613642556,0.9911504424778761,471.2379417061317,2,54,31073945.534963325,6.277777777777778,162
Middelburg,0,0.0,0.9869353098818697,0.9911504424778761,471.2379417061317,2,54,31290087.05794484,6.277777777777778,162
Middelburg,0,0.0,0.9868894772428567,0.9911504424778761,471.2379417061317,2,54,30588686.746204257,6.277777777777778,162
Middelburg,0,0.0,0.9869889100926265,0.9911504424778761,471.2379417061317,2,54,30792638.038800664,6.277777777777778,162
Middelburg,0,0.0,0.9607034795875796,0.9557522123893806,498.06678357443934,2,54,21150811.77116735,6.277777777777778,162
Middelburg,0,0.0,0.9554040115191004,0.9557522123893806,498.0488742933421,2,54,23983201.405348193,6.277777777777778,162
Middelburg,0,0.0,0.9604573964136038,0.9587020648967551,498.78308703902616,2,54,22182978.961839773,6.277777777777778,162
Middelburg,0,0.0,0.960870417879745,0.9587020648967551,498.8517094844797,2,54,22260304.313900482,6.277777777777778,162
Middelburg,0,0.0,0.9829123568986637,0.9970501474926253,465.09853601440295,2,54,63638772.33231272,6.277777777777778,162
Middelburg,0,0.0,0.984727026936067,0.9970501474926253,464.965146836805,2,54,61904150.22969139,6.277777777777778,162
Middelburg,0,0.0,0.9829026752468194,0.9970501474926253,464.99224802998424,2,54,65959499.23140862,6.277777777777778,162
Middelburg,0,0.0,0.9838845607226661,0.9970501474926253,465.06147225221383,2,54,64442105.971752785,6.277777777777778,162
Middelburg,0,0.0,0.9810191822228904,0.9882005899705014,481.72480528603523,2,54,39935670.11005809,6.277777777777778,162
Middelburg,0,0.0,0.9808441172710117,0.9911504424778761,481.72480528603523,2,54,39247230.80953342,6.277777777777778,162
Middelburg,0,0.0,0.9821708860948297,0.9882005899705014,481.74265747735643,2,54,41984814.93448535,6.277777777777778,162
Middelburg,0,0.0,0.9825045159022954,0.9882005899705014,481.72480528603523,2,54,41300885.71911072,6.277777777777778,162
Middelburg,0,0.0,0.9607034795875796,0.9557522123893806,498.06678357443934,2,54,21150811.77116735,6.277777777777778,162
Middelburg,0,0.0,0.9554040115191004,0.9557522123893806,498.0488742933421,2,54,23983201.405348193,6.277777777777778,162
Middelburg,0,0.0,0.9604573964136038,0.9587020648967551,498.78308703902616,2,54,22182978.961839773,6.277777777777778,162
Middelburg,0,0.0,0.960870417879745,0.9587020648967551,498.8517094844797,2,54,22260304.313900482,6.277777777777778,162
Middelburg,0,0.0,0.9814122018473102,0.9852507374631269,499.0566631746125,2,54,35416864.87499098,6.277777777777778,162
Middelburg,0,0.0,0.9796004105251772,0.976401179941003,499.9860452732702,2,54,35590116.99625301,6.277777777777778,162
Middelburg,0,0.0,0.9814232801458175,0.9852507374631269,498.8541108300668,2,54,35706737.468196906,6.277777777777778,162
Middelburg,0,0.0,0.9808126897640989,0.9882005899705014,500.22702414379796,2,54,34456170.278832,6.277777777777778,162
Middelburg,0,0.0,0.9626446885110062,0.9705014749262537,475.22859618082646,2,54,26998160.22710581,6.277777777777778,162
Middelburg,0,0.0,0.9628537098829263,0.9705014749262537,476.8502956348898,2,54,27706416.561379325,6.277777777777778,162
Middelburg,0,0.0,0.9629846884492315,0.9705014749262537,475.22859618082646,2,54,29291001.454078764,6.277777777777778,162
Middelburg,0,0.0,0.9631624699077596,0.9705014749262537,476.8502956348898,2,54,26779074.055691738,6.277777777777778,162
Middelburg,0,0.0,0.9607034795875796,0.9557522123893806,498.06678357443934,2,54,21150811.77116735,6.277777777777778,162
Middelburg,0,0.0,0.9554040115191004,0.9557522123893806,498.0488742933421,2,54,23983201.405348193,6.277777777777778,162
Middelburg,0,0.0,0.9604573964136038,0.9587020648967551,498.78308703902616,2,54,22182978.961839773,6.277777777777778,162
Middelburg,0,0.0,0.960870417879745,0.9587020648967551,498.8517094844797,2,54,22260304.313900482,6.277777777777778,162
Middelburg,0,0.0,0.9788976689587506,0.9911504424778761,466.2884382416121,2,54,49425937.4234372,6.277777777777778,162
Middelburg,0,0.0,0.9786859910381587,0.9911504424778761,466.2884382416121,2,54,48709376.28807161,6.277777777777778,162
Middelburg,0,0.0,0.9817272523434112,0.9941002949852508,466.2884382416121,2,54,49121289.60475654,6.277777777777778,162
Middelburg,0,0.0,0.9801269885223468,0.9882005899705014,466.2884382416121,2,54,47343542.07933394,6.277777777777778,162
Middelburg,0,0.0,0.9748478223239054,0.9852507374631269,463.9564186839499,2,54,36778506.49770897,6.277777777777778,162
Middelburg,0,0.0,0.9775160576573468,0.9852507374631269,463.9564186839499,2,54,36295335.2614281,6.277777777777778,162
Middelburg,0,0.0,0.9761695753462514,0.9852507374631269,463.9564186839499,2,54,37297355.448481396,6.277777777777778,162
Middelburg,0,0.0,0.9777765729293867,0.9882005899705014,463.9564186839499,2,54,38018191.25625476,6.277777777777778,162
Middelburg,0,0.0,0.9607034795875796,0.9557522123893806,498.06678357443934,2,54,21150811.77116735,6.277777777777778,162
Middelburg,0,0.0,0.9554040115191004,0.9557522123893806,498.0488742933421,2,54,23983201.405348193,6.277777777777778,162
Middelburg,0,0.0,0.9604573964136038,0.9587020648967551,498.78308703902616,2,54,22182978.961839773,6.277777777777778,162
Middelburg,0,0.0,0.960870417879745,0.9587020648967551,498.8517094844797,2,54,22260304.313900482,6.277777777777778,162
Middelburg,0,0.0,0.9842552137771085,0.9793510324483776,466.72813390645354,2,54,63181980.609646335,6.277777777777778,162
Middelburg,0,0.0,0.9839202590636913,0.9793510324483776,466.72813390645354,2,54,64548063.549825884,6.277777777777778,162
Middelburg,0,0.0,0.9899357725558008,0.9882005899705014,466.74606770601235,2,54,62452689.18599884,6.277777777777778,162
Middelburg,0,0.0,0.9836569908306738,0.9793510324483776,466.737301300074,2,54,63794758.351316705,6.277777777777778,162
Middelburg,0,0.0,0.9761991048789473,0.9734513274336283,479.6192145073289,2,54,44879148.97355265,6.277777777777778,162
Middelburg,0,0.0,0.9774895318241794,0.9793510324483776,479.6192145073289,2,54,42552413.12854655,6.277777777777778,162
Middelburg,0,0.0,0.9737430077734082,0.976401179941003,479.67718078048495,2,54,38090714.719333924,6.277777777777778,162
Middelburg,0,0.0,0.9753957961771444,0.9793510324483776,479.6012715789312,2,54,41907432.41946417,6.277777777777778,162
Middelburg,0,0.0,0.9607034795875796,0.9557522123893806,498.06678357443934,2,54,21150811.77116735,6.277777777777778,162
Middelburg,0,0.0,0.9554040115191004,0.9557522123893806,498.0488742933421,2,54,23983201.405348193,6.277777777777778,162
