city,severity,isolated_users,received_service,received_service_half,avg_distance,isolated_systems,active_base_stations,avg_snr,connected_UE_BS,active_channels
Middelburg,0,0.0,0.9357486186307377,0.9498525073746312,467.6639682891778,2,54,62648256.26249137,6.277777777777778,134
Middelburg,0,0.0,0.9399754213367285,0.9498525073746312,467.6651282085863,2,54,62735448.15955247,6.277777777777778,134
Middelburg,0,0.0,0.9349375529057078,0.9498525073746312,467.66129605767327,2,54,60481795.44039604,6.277777777777778,134
Middelburg,0,0.0,0.9491888634068555,0.9616519174041298,467.8019088963156,2,54,63130991.62177182,6.277777777777778,134
Middelburg,0,0.0,0.9115060401185543,0.9174041297935103,492.9916504603997,2,54,74038054.60518232,6.277777777777778,134
Middelburg,0,0.0,0.9113098842695794,0.911504424778761,492.9916504603997,2,54,72689100.15504049,6.277777777777778,134
Middelburg,0,0.0,0.9114308776358365,0.911504424778761,492.9916504603997,2,54,72349034.07533708,6.277777777777778,134
Middelburg,0,0.0,0.9115969825499118,0.9144542772861357,492.9916504603997,2,54,76109372.50003406,6.277777777777778,134
Middelburg,0,0.0,0.9199136210138082,0.9321533923303835,471.46008468551514,2,54,96084396.82995874,6.277777777777778,134
Middelburg,0,0.0,0.9201541657981086,0.9262536873156342,471.46008468551514,2,54,94505123.47362754,6.277777777777778,134
Middelburg,0,0.0,0.91966574103997,0.9262536873156342,474.4126363579876,2,54,93747642.49901046,6.277777777777778,134
Middelburg,0,0.0,0.9187189318242162,0.9262536873156342,471.46008468551514,2,54,96851773.66943142,6.277777777777778,134
Middelburg,0,0.0,0.9357486186307377,0.9498525073746312,467.6639682891778,2,54,62648256.26249137,6.277777777777778,134
Middelburg,0,0.0,0.9399754213367285,0.9498525073746312,467.6651282085863,2,54,62735448.15955247,6.277777777777778,134
Middelburg,0,0.0,0.9349375529057078,0.9498525073746312,467.66129605767327,2,54,60481795.44039604,6.277777777777778,134
Middelburg,0,0.0,0.9491888634068555,0.9616519174041298,467.8019088963156,2,54,63130991.62177182,6.277777777777778,134
Middelburg,0,0.0,0.9005923191079823,0.8997050147492626,501.72220345507895,2,54,73890393.28738138,6.277777777777778,134
Middelburg,0,0.0,0.9002334983625765,0.8997050147492626,501.7058596022274,2,54,75884092.02938078,6.277777777777778,134
